relativePath,originalExt,originalBytes,webpBytes,deltaBytes,deltaPercent,originalSize,webpSize,quality
vocab/images/mud.webp,webp,33676,17764,-15912,-47.25,32.89 KB,17.35 KB,85
vocab/images/muffin.webp,webp,25496,12626,-12870,-50.48,24.90 KB,12.33 KB,85
vocab/images/music_stand.webp,webp,6194,3992,-2202,-35.55,6.05 KB,3.90 KB,85
vocab/images/musicstand.webp,webp,6194,3992,-2202,-35.55,6.05 KB,3.90 KB,85
vocab/images/myriad.webp,webp,39804,25722,-14082,-35.38,38.87 KB,25.12 KB,85
vocab/images/narwhal.webp,webp,5384,3264,-2120,-39.38,5.26 KB,3.19 KB,85
vocab/images/needle.webp,webp,38344,22454,-15890,-41.44,37.45 KB,21.93 KB,85
vocab/images/net.webp,webp,68442,45692,-22750,-33.24,66.84 KB,44.62 KB,85
vocab/images/neutral.webp,webp,12604,5236,-7368,-58.46,12.31 KB,5.11 KB,85
vocab/images/nose.webp,webp,21904,7366,-14538,-66.37,21.39 KB,7.19 KB,85
vocab/images/notebook.webp,webp,21976,9754,-12222,-55.62,21.46 KB,9.53 KB,85
vocab/images/notecard.webp,webp,9924,4274,-5650,-56.93,9.69 KB,4.17 KB,85
vocab/images/nurse.webp,webp,26114,16278,-9836,-37.67,25.50 KB,15.90 KB,85
vocab/images/octopus.webp,webp,41494,23362,-18132,-43.70,40.52 KB,22.81 KB,85
vocab/images/oil.webp,webp,47632,28480,-19152,-40.21,46.52 KB,27.81 KB,85
vocab/images/oilcan.webp,webp,57916,37770,-20146,-34.78,56.56 KB,36.88 KB,85
vocab/images/olive.webp,webp,28930,14924,-14006,-48.41,28.25 KB,14.57 KB,85
vocab/images/omelet.webp,webp,28222,14524,-13698,-48.54,27.56 KB,14.18 KB,85
vocab/images/oneabovetheother.webp,webp,4796,2714,-2082,-43.41,4.68 KB,2.65 KB,85
vocab/images/oneachother.webp,webp,5326,2962,-2364,-44.39,5.20 KB,2.89 KB,85
vocab/images/opening.webp,webp,19610,7292,-12318,-62.81,19.15 KB,7.12 KB,85
vocab/images/orange.webp,webp,31308,15290,-16018,-51.16,30.57 KB,14.93 KB,85
vocab/images/orchid.webp,webp,31752,16426,-15326,-48.27,31.01 KB,16.04 KB,85
vocab/images/organ.webp,webp,49804,29812,-19992,-40.14,48.64 KB,29.11 KB,85
vocab/images/owl.webp,webp,35506,21002,-14504,-40.85,34.67 KB,20.51 KB,85
vocab/images/pack.webp,webp,25180,15000,-10180,-40.43,24.59 KB,14.65 KB,85
vocab/images/paddle.webp,webp,30606,14668,-15938,-52.07,29.89 KB,14.32 KB,85
vocab/images/paint.webp,webp,16172,9312,-6860,-42.42,15.79 KB,9.09 KB,85
vocab/images/painting.webp,webp,36652,19440,-17212,-46.96,35.79 KB,18.98 KB,85
vocab/images/paleontologist.webp,webp,18922,10856,-8066,-42.63,18.48 KB,10.60 KB,85
vocab/images/palette.webp,webp,33030,17918,-15112,-45.75,32.26 KB,17.50 KB,85
vocab/images/pan.webp,webp,31986,17474,-14512,-45.37,31.24 KB,17.06 KB,85
vocab/images/pancake.webp,webp,25450,12380,-13070,-51.36,24.85 KB,12.09 KB,85
vocab/images/panda.webp,webp,37172,18818,-18354,-49.38,36.30 KB,18.38 KB,85
vocab/images/papaya.webp,webp,32764,15994,-16770,-51.18,32.00 KB,15.62 KB,85
vocab/images/park.webp,webp,33610,18716,-14894,-44.31,32.82 KB,18.28 KB,85
vocab/images/pastaspoon.webp,webp,4208,2728,-1480,-35.17,4.11 KB,2.66 KB,85
vocab/images/pathway.webp,webp,44802,25314,-19488,-43.50,43.75 KB,24.72 KB,85
vocab/images/peach.webp,webp,32366,14502,-17864,-55.19,31.61 KB,14.16 KB,85
vocab/images/peeking.webp,webp,14556,6604,-7952,-54.63,14.21 KB,6.45 KB,85
vocab/images/peel.webp,webp,19264,11340,-7924,-41.13,18.81 KB,11.07 KB,85
vocab/images/peg.webp,webp,28056,14382,-13674,-48.74,27.40 KB,14.04 KB,85
vocab/images/pen.webp,webp,10924,5518,-5406,-49.49,10.67 KB,5.39 KB,85
vocab/images/pencil.webp,webp,19368,6422,-12946,-66.84,18.91 KB,6.27 KB,85
vocab/images/pensive.webp,webp,12222,6846,-5376,-43.99,11.94 KB,6.69 KB,85
vocab/images/percussion.webp,webp,6332,4124,-2208,-34.87,6.18 KB,4.03 KB,85
vocab/images/perfume.webp,webp,20678,10292,-10386,-50.23,20.19 KB,10.05 KB,85
vocab/images/perfumebottles.webp,webp,14796,8286,-6510,-44.00,14.45 KB,8.09 KB,85
vocab/images/pesto.webp,webp,34838,19290,-15548,-44.63,34.02 KB,18.84 KB,85
vocab/images/pharmacist.webp,webp,25172,12792,-12380,-49.18,24.58 KB,12.49 KB,85
vocab/images/pheasant.webp,webp,24248,11888,-12360,-50.97,23.68 KB,11.61 KB,85
vocab/images/philatelist.webp,webp,20752,13132,-7620,-36.72,20.27 KB,12.82 KB,85
vocab/images/phone.webp,webp,20208,6516,-13692,-67.76,19.73 KB,6.36 KB,85
vocab/images/picking.webp,webp,22270,10554,-11716,-52.61,21.75 KB,10.31 KB,85
vocab/images/pie.webp,webp,49666,28976,-20690,-41.66,48.50 KB,28.30 KB,85
vocab/images/pier.webp,webp,23246,13738,-9508,-40.90,22.70 KB,13.42 KB,85
vocab/images/pig.webp,webp,35784,18520,-17264,-48.25,34.95 KB,18.09 KB,85
vocab/images/pigeon.webp,webp,19842,9026,-10816,-54.51,19.38 KB,8.81 KB,85
vocab/images/pillow.webp,webp,37314,20636,-16678,-44.70,36.44 KB,20.15 KB,85
vocab/images/pinball.webp,webp,44344,25214,-19130,-43.14,43.30 KB,24.62 KB,85
vocab/images/pincer-pre04-15-2024.webp,webp,9138,4448,-4690,-51.32,8.92 KB,4.34 KB,85
vocab/images/pincer.webp,webp,15018,7320,-7698,-51.26,14.67 KB,7.15 KB,85
vocab/images/pincushion.webp,webp,35728,18822,-16906,-47.32,34.89 KB,18.38 KB,85
vocab/images/pineapple.webp,webp,45438,25198,-20240,-44.54,44.37 KB,24.61 KB,85
vocab/images/pinecone.webp,webp,29272,15182,-14090,-48.13,28.59 KB,14.83 KB,85
vocab/images/pinwheel.webp,webp,24024,12792,-11232,-46.75,23.46 KB,12.49 KB,85
vocab/images/pipetting.webp,webp,20566,11922,-8644,-42.03,20.08 KB,11.64 KB,85
vocab/images/pirate.webp,webp,24756,13076,-11680,-47.18,24.18 KB,12.77 KB,85
vocab/images/pistachio.webp,webp,32556,16980,-15576,-47.84,31.79 KB,16.58 KB,85
vocab/images/pitcher.webp,webp,30040,15444,-14596,-48.59,29.34 KB,15.08 KB,85
vocab/images/pizza.webp,webp,51848,30874,-20974,-40.45,50.63 KB,30.15 KB,85
vocab/images/playing.webp,webp,52160,31658,-20502,-39.31,50.94 KB,30.92 KB,85
vocab/images/plug.webp,webp,11488,4280,-7208,-62.74,11.22 KB,4.18 KB,85
vocab/images/porthole.webp,webp,19254,9000,-10254,-53.26,18.80 KB,8.79 KB,85
vocab/images/pose.webp,webp,17426,10500,-6926,-39.75,17.02 KB,10.25 KB,85
vocab/images/posterior.webp,webp,32178,20096,-12082,-37.55,31.42 KB,19.63 KB,85
vocab/images/pot.webp,webp,32934,17020,-15914,-48.32,32.16 KB,16.62 KB,85
vocab/images/potato.webp,webp,36048,18476,-17572,-48.75,35.20 KB,18.04 KB,85
vocab/images/pottery.webp,webp,19160,11178,-7982,-41.66,18.71 KB,10.92 KB,85
vocab/images/pouch.webp,webp,10682,5836,-4846,-45.37,10.43 KB,5.70 KB,85
vocab/images/pouring.webp,webp,9140,4858,-4282,-46.85,8.93 KB,4.74 KB,85
vocab/images/precarious.webp,webp,39856,22196,-17660,-44.31,38.92 KB,21.68 KB,85
vocab/images/preserve.webp,webp,24290,14972,-9318,-38.36,23.72 KB,14.62 KB,85
vocab/images/printer.webp,webp,12184,5832,-6352,-52.13,11.90 KB,5.70 KB,85
vocab/images/prism.webp,webp,14010,6042,-7968,-56.87,13.68 KB,5.90 KB,85
vocab/images/progression.webp,webp,3234,1924,-1310,-40.51,3.16 KB,1.88 KB,85
vocab/images/proposal.webp,webp,9618,5378,-4240,-44.08,9.39 KB,5.25 KB,85
vocab/images/protractor.webp,webp,9618,6158,-3460,-35.97,9.39 KB,6.01 KB,85
vocab/images/puddle.webp,webp,37218,19384,-17834,-47.92,36.35 KB,18.93 KB,85
vocab/images/pump.webp,webp,35182,20106,-15076,-42.85,34.36 KB,19.63 KB,85
vocab/images/pumpkin.webp,webp,31834,17332,-14502,-45.56,31.09 KB,16.93 KB,85
vocab/images/quartet.webp,webp,23052,13890,-9162,-39.74,22.51 KB,13.56 KB,85
vocab/images/quilt.webp,webp,44760,25640,-19120,-42.72,43.71 KB,25.04 KB,85
vocab/images/rabbit.webp,webp,32864,18836,-14028,-42.69,32.09 KB,18.39 KB,85
vocab/images/radar.webp,webp,28046,14114,-13932,-49.68,27.39 KB,13.78 KB,85
vocab/images/railing.webp,webp,23960,9254,-14706,-61.38,23.40 KB,9.04 KB,85
vocab/images/rainstick.webp,webp,5808,3794,-2014,-34.68,5.67 KB,3.71 KB,85
vocab/images/raspberry.webp,webp,46154,27444,-18710,-40.54,45.07 KB,26.80 KB,85
vocab/images/readaloud.webp,webp,27502,16838,-10664,-38.78,26.86 KB,16.44 KB,85
vocab/images/reading.webp,webp,36242,15290,-20952,-57.81,35.39 KB,14.93 KB,85
vocab/images/referee.webp,webp,25550,15890,-9660,-37.81,24.95 KB,15.52 KB,85
vocab/images/refrigerator.webp,webp,16194,7124,-9070,-56.01,15.81 KB,6.96 KB,85
vocab/images/repot.webp,webp,22754,13340,-9414,-41.37,22.22 KB,13.03 KB,85
vocab/images/researcher.webp,webp,18996,11364,-7632,-40.18,18.55 KB,11.10 KB,85
vocab/images/resuscitation.webp,webp,21086,12732,-8354,-39.62,20.59 KB,12.43 KB,85
vocab/images/rhinoceros.webp,webp,45276,26566,-18710,-41.32,44.21 KB,25.94 KB,85
vocab/images/rhubarb.webp,webp,46716,26598,-20118,-43.06,45.62 KB,25.97 KB,85
vocab/images/rice.webp,webp,29626,12910,-16716,-56.42,28.93 KB,12.61 KB,85
vocab/images/rickety.webp,webp,28124,17592,-10532,-37.45,27.46 KB,17.18 KB,85
vocab/images/rim.webp,webp,44124,25470,-18654,-42.28,43.09 KB,24.87 KB,85
vocab/images/ring.webp,webp,20120,9136,-10984,-54.59,19.65 KB,8.92 KB,85
vocab/images/roadworker.webp,webp,38538,25164,-13374,-34.70,37.63 KB,24.57 KB,85
vocab/images/robot.webp,webp,36906,19118,-17788,-48.20,36.04 KB,18.67 KB,85
vocab/images/rocket.webp,webp,8692,3456,-5236,-60.24,8.49 KB,3.38 KB,85
vocab/images/roof.webp,webp,21362,10370,-10992,-51.46,20.86 KB,10.13 KB,85
vocab/images/rooster.webp,webp,32250,17130,-15120,-46.88,31.49 KB,16.73 KB,85
vocab/images/rope.webp,webp,57544,41144,-16400,-28.50,56.20 KB,40.18 KB,85
vocab/images/rose.webp,webp,22060,10260,-11800,-53.49,21.54 KB,10.02 KB,85
vocab/images/roseball.webp,webp,2842,1536,-1306,-45.95,2.78 KB,1.50 KB,85
vocab/images/rosette.webp,webp,29006,17960,-11046,-38.08,28.33 KB,17.54 KB,85
